epoch,iter,trn_BCE,trn_OAcc,trn_FPS,val_BCE,val_OAcc,val_FPS
1,50,0.669,0.614,51.508,0.672,0.603,360.910
1,100,0.664,0.623,62.635,0.670,0.603,367.496
1,150,0.623,0.660,62.562,0.565,0.715,363.681
1,200,0.478,0.777,62.468,0.432,0.812,363.210
1,250,0.395,0.825,62.364,0.375,0.836,364.185
1,300,0.345,0.850,62.442,0.358,0.846,365.924
1,350,0.348,0.849,62.491,0.355,0.844,366.052
1,400,0.328,0.860,62.487,0.361,0.845,366.720
1,450,0.329,0.856,62.542,0.358,0.845,362.875
1,500,0.312,0.865,62.516,0.325,0.858,363.559
1,550,0.308,0.867,62.508,0.314,0.862,365.245
1,600,0.295,0.873,62.483,0.324,0.860,365.654
1,650,0.286,0.879,62.533,0.294,0.871,365.065
1,700,0.284,0.879,62.493,0.297,0.871,367.237
1,750,0.289,0.876,62.500,0.305,0.871,362.353
1,800,0.279,0.882,62.461,0.305,0.869,364.252
1,850,0.272,0.882,62.504,0.281,0.880,364.572
1,900,0.269,0.886,62.539,0.295,0.874,365.395
1,950,0.264,0.890,62.569,0.291,0.880,367.244
1,1000,0.256,0.893,62.560,0.276,0.883,366.463
1,1050,0.263,0.889,62.549,0.269,0.888,365.190
2,1100,0.260,0.894,58.113,0.264,0.889,366.769
2,1150,0.250,0.896,62.558,0.268,0.889,365.751
2,1200,0.251,0.896,62.641,0.262,0.891,363.797
2,1250,0.237,0.902,62.628,0.266,0.887,366.253
2,1300,0.249,0.896,62.538,0.259,0.892,366.380
2,1350,0.252,0.897,62.456,0.261,0.892,366.164
2,1400,0.236,0.903,62.480,0.256,0.894,366.147
2,1450,0.232,0.905,62.536,0.253,0.894,367.391
2,1500,0.235,0.904,62.663,0.250,0.897,364.867
2,1550,0.218,0.911,62.637,0.237,0.902,368.827
2,1600,0.223,0.909,62.573,0.255,0.894,365.548
2,1650,0.232,0.905,62.568,0.253,0.896,367.214
2,1700,0.213,0.914,62.661,0.260,0.893,365.188
2,1750,0.215,0.913,62.654,0.313,0.874,361.110
2,1800,0.218,0.913,62.666,0.240,0.902,367.168
2,1850,0.216,0.913,62.594,0.230,0.905,361.529
2,1900,0.219,0.910,62.656,0.229,0.907,366.866
2,1950,0.219,0.913,62.559,0.232,0.905,367.313
2,2000,0.210,0.917,62.655,0.226,0.908,366.915
2,2050,0.207,0.917,62.618,0.223,0.910,367.827
2,2100,0.201,0.918,62.652,0.236,0.904,363.660
2,2150,0.218,0.912,62.657,0.235,0.904,366.800
3,2200,0.211,0.914,61.346,0.218,0.912,365.968
3,2250,0.194,0.922,62.623,0.227,0.908,366.933
3,2300,0.204,0.918,62.636,0.215,0.914,364.189
3,2350,0.197,0.921,62.600,0.240,0.904,364.003
3,2400,0.196,0.923,62.641,0.217,0.912,365.515
3,2450,0.191,0.924,62.621,0.210,0.915,364.378
3,2500,0.194,0.922,62.545,0.232,0.908,366.272
3,2550,0.191,0.922,62.643,0.210,0.916,364.578
3,2600,0.195,0.922,62.653,0.218,0.912,365.848
3,2650,0.189,0.926,62.527,0.207,0.916,366.821
3,2700,0.191,0.924,62.539,0.204,0.917,364.880
3,2750,0.194,0.922,62.653,0.221,0.908,366.548
3,2800,0.190,0.925,62.572,0.217,0.912,364.042
3,2850,0.202,0.921,62.659,0.237,0.905,364.917
3,2900,0.186,0.926,62.657,0.208,0.916,367.391
3,2950,0.175,0.931,62.668,0.222,0.910,364.314
3,3000,0.199,0.921,62.634,0.225,0.907,366.330
3,3050,0.185,0.927,62.532,0.208,0.916,367.559
3,3100,0.181,0.928,62.582,0.214,0.913,366.834
3,3150,0.181,0.929,62.650,0.201,0.920,364.993
3,3200,0.176,0.930,62.655,0.203,0.918,361.326
3,3250,0.185,0.926,62.650,0.201,0.919,366.794
4,3300,0.183,0.926,61.423,0.214,0.913,363.843
4,3350,0.175,0.930,62.654,0.202,0.920,367.205
4,3400,0.183,0.927,62.537,0.204,0.918,365.818
4,3450,0.173,0.931,62.669,0.220,0.911,362.845
4,3500,0.171,0.931,62.655,0.208,0.915,364.688
4,3550,0.188,0.926,62.658,0.204,0.919,365.807
4,3600,0.180,0.929,62.572,0.214,0.912,366.412
4,3650,0.173,0.932,62.585,0.199,0.920,366.171
4,3700,0.174,0.931,62.660,0.196,0.921,367.226
4,3750,0.174,0.931,62.633,0.208,0.916,366.373
4,3800,0.177,0.929,62.567,0.197,0.921,366.335
4,3850,0.171,0.932,62.641,0.198,0.920,367.534
4,3900,0.178,0.930,62.689,0.198,0.921,367.414
4,3950,0.170,0.932,62.599,0.199,0.920,367.183
4,4000,0.172,0.932,62.554,0.202,0.919,367.445
4,4050,0.172,0.932,62.545,0.211,0.915,362.462
4,4100,0.174,0.931,62.552,0.202,0.920,367.196
4,4150,0.179,0.929,62.542,0.212,0.914,366.992
4,4200,0.167,0.934,62.579,0.195,0.921,366.873
4,4250,0.165,0.935,62.674,0.188,0.925,363.518
4,4300,0.170,0.932,62.669,0.204,0.918,367.493
4,4350,0.173,0.931,62.594,0.203,0.918,363.807
5,4400,0.167,0.934,61.423,0.213,0.915,366.494
5,4450,0.165,0.935,62.619,0.188,0.925,367.892
5,4500,0.169,0.933,62.544,0.190,0.923,362.790
5,4550,0.161,0.936,62.624,0.192,0.923,365.406
5,4600,0.162,0.935,62.626,0.195,0.922,367.553
5,4650,0.156,0.938,62.531,0.197,0.922,366.810
5,4700,0.158,0.937,62.634,0.188,0.925,369.911
5,4750,0.165,0.934,62.606,0.196,0.921,363.866
5,4800,0.158,0.938,62.672,0.188,0.925,364.027
5,4850,0.166,0.935,62.598,0.187,0.924,368.168
5,4900,0.159,0.936,62.446,0.181,0.928,366.146
5,4950,0.162,0.936,62.611,0.188,0.925,363.388
5,5000,0.160,0.936,62.543,0.186,0.926,364.984
