epoch,iter,trn_MCE,trn_OAcc,trn_FPS,val_MCE,val_OAcc,val_FPS
1,50,1.728,0.281,70.437,1.685,0.363,356.639
1,100,1.720,0.276,95.069,1.700,0.362,374.041
1,150,1.714,0.265,94.977,1.706,0.363,371.463
1,200,1.717,0.270,94.880,1.712,0.156,374.240
1,250,1.709,0.297,94.949,1.704,0.362,375.091
1,300,1.717,0.271,95.032,1.710,0.156,376.852
1,350,1.711,0.298,94.964,1.691,0.363,373.733
1,400,1.709,0.300,94.990,1.699,0.363,375.083
1,450,1.709,0.296,95.020,1.704,0.363,377.331
1,500,1.716,0.265,95.099,1.709,0.363,377.625
1,550,1.707,0.302,95.082,1.684,0.362,376.768
2,600,1.717,0.277,84.623,1.695,0.362,375.858
2,650,1.713,0.286,95.084,1.690,0.362,378.243
2,700,1.713,0.284,95.025,1.699,0.363,376.535
2,750,1.710,0.301,95.091,1.689,0.362,374.453
2,800,1.714,0.280,95.115,1.689,0.362,375.362
2,850,1.708,0.295,95.022,1.699,0.363,377.292
2,900,1.703,0.313,95.065,1.695,0.363,375.571
2,950,1.701,0.314,95.069,1.626,0.437,377.742
2,1000,1.606,0.427,94.983,1.583,0.464,376.414
2,1050,1.580,0.457,94.948,1.580,0.466,377.872
2,1100,1.576,0.463,94.959,1.584,0.462,374.908
3,1150,1.559,0.478,92.574,1.612,0.395,371.987
3,1200,1.550,0.489,95.018,1.571,0.474,373.304
3,1250,1.567,0.471,95.026,1.593,0.464,377.154
3,1300,1.562,0.475,94.969,1.597,0.409,378.065
3,1350,1.574,0.457,94.945,1.590,0.469,376.373
3,1400,1.569,0.463,94.972,1.577,0.470,375.132
3,1450,1.563,0.475,94.978,1.579,0.470,377.139
3,1500,1.560,0.476,94.942,1.576,0.474,374.774
3,1550,1.566,0.467,95.038,1.607,0.402,379.039
3,1600,1.561,0.475,94.972,1.581,0.472,375.069
3,1650,1.563,0.475,94.886,1.583,0.468,375.247
4,1700,1.549,0.487,92.517,1.582,0.476,372.950
4,1750,1.568,0.469,94.991,1.583,0.474,377.800
4,1800,1.567,0.468,94.947,1.578,0.474,377.905
4,1850,1.566,0.473,94.988,1.568,0.475,377.660
4,1900,1.559,0.474,94.948,1.584,0.429,372.839
4,1950,1.563,0.469,94.967,1.586,0.428,375.643
4,2000,1.546,0.486,94.900,1.585,0.423,373.867
4,2050,1.559,0.479,94.852,1.591,0.424,377.888
4,2100,1.557,0.483,94.897,1.571,0.471,374.243
4,2150,1.550,0.489,94.953,1.559,0.484,377.774
4,2200,1.551,0.486,95.008,1.544,0.495,375.069
5,2250,1.560,0.476,92.643,1.566,0.474,374.925
5,2300,1.547,0.490,95.025,1.506,0.534,375.636
5,2350,1.517,0.523,95.057,1.477,0.564,374.309
5,2400,1.507,0.533,94.963,1.483,0.557,375.882
5,2450,1.512,0.528,94.968,1.478,0.561,374.085
5,2500,1.485,0.555,94.969,1.483,0.557,375.986
5,2550,1.495,0.545,94.971,1.452,0.588,376.958
5,2600,1.517,0.523,94.961,1.504,0.530,376.516
5,2650,1.508,0.532,94.930,1.463,0.578,376.826
5,2700,1.495,0.545,94.983,1.492,0.549,375.528
5,2750,1.507,0.533,95.029,1.454,0.587,376.830
