epoch,iter,trn_BCE,trn_OAcc,trn_FPS,val_BCE,val_OAcc,val_FPS
1,50,0.665,0.623,51.121,0.672,0.603,361.970
1,100,0.661,0.628,62.628,0.675,0.603,366.903
1,150,0.666,0.619,62.584,0.672,0.603,370.002
1,200,0.668,0.613,62.569,0.673,0.603,365.726
1,250,0.667,0.615,62.625,0.672,0.603,370.058
1,300,0.669,0.611,62.586,0.672,0.603,369.897
1,350,0.666,0.619,62.571,0.672,0.603,368.513
1,400,0.664,0.623,62.644,0.672,0.603,367.272
1,450,0.662,0.618,62.611,0.616,0.603,366.149
1,500,0.503,0.751,62.430,0.463,0.787,365.108
1,550,0.429,0.804,62.479,0.397,0.819,361.711
1,600,0.394,0.824,62.531,0.385,0.828,364.003
1,650,0.373,0.835,62.498,0.378,0.834,367.213
1,700,0.359,0.843,62.504,0.367,0.841,366.448
1,750,0.347,0.849,62.525,0.360,0.849,366.098
1,800,0.319,0.865,62.490,0.337,0.855,365.540
1,850,0.320,0.862,62.500,0.326,0.858,366.681
1,900,0.308,0.869,62.483,0.335,0.855,365.328
1,950,0.311,0.867,62.476,0.296,0.872,365.473
1,1000,0.291,0.876,62.466,0.314,0.864,365.498
1,1050,0.286,0.878,62.519,0.286,0.876,368.378
2,1100,0.276,0.882,58.519,0.276,0.883,367.320
2,1150,0.271,0.886,62.541,0.277,0.882,365.571
2,1200,0.263,0.889,62.462,0.281,0.880,367.564
2,1250,0.253,0.895,62.593,0.270,0.887,366.795
2,1300,0.257,0.894,62.569,0.275,0.887,363.420
2,1350,0.251,0.896,62.565,0.260,0.892,367.605
2,1400,0.249,0.896,62.531,0.265,0.887,367.361
2,1450,0.240,0.901,62.499,0.250,0.896,362.022
2,1500,0.232,0.904,62.580,0.254,0.895,367.268
2,1550,0.233,0.904,62.545,0.249,0.899,367.314
2,1600,0.246,0.898,62.491,0.250,0.897,367.735
2,1650,0.232,0.907,62.492,0.245,0.900,367.524
2,1700,0.241,0.902,62.593,0.241,0.900,367.207
2,1750,0.237,0.903,62.522,0.238,0.902,366.364
2,1800,0.227,0.907,62.459,0.239,0.901,368.137
2,1850,0.217,0.913,62.492,0.233,0.906,362.492
2,1900,0.205,0.917,62.581,0.264,0.891,363.277
2,1950,0.219,0.911,62.581,0.236,0.903,365.506
2,2000,0.218,0.911,62.397,0.255,0.896,360.870
2,2050,0.217,0.914,62.410,0.234,0.904,363.992
2,2100,0.220,0.910,62.377,0.227,0.908,365.224
2,2150,0.210,0.917,62.420,0.233,0.904,362.255
3,2200,0.218,0.912,61.087,0.229,0.906,361.817
3,2250,0.209,0.917,62.336,0.226,0.908,366.508
3,2300,0.216,0.912,62.354,0.238,0.903,363.871
3,2350,0.200,0.918,62.396,0.217,0.912,366.418
3,2400,0.200,0.921,62.359,0.231,0.906,363.469
3,2450,0.208,0.916,62.534,0.217,0.912,363.163
3,2500,0.198,0.922,62.575,0.220,0.911,367.932
3,2550,0.200,0.920,62.467,0.225,0.909,366.272
3,2600,0.207,0.917,62.542,0.228,0.907,368.094
3,2650,0.197,0.921,62.498,0.222,0.912,364.777
3,2700,0.203,0.918,62.573,0.231,0.907,363.870
3,2750,0.204,0.918,62.589,0.229,0.907,367.176
3,2800,0.205,0.918,62.350,0.234,0.905,366.691
3,2850,0.208,0.916,62.533,0.215,0.914,362.661
3,2900,0.204,0.919,62.413,0.216,0.913,366.921
3,2950,0.206,0.917,62.440,0.217,0.912,364.834
3,3000,0.195,0.921,62.388,0.227,0.907,364.740
3,3050,0.198,0.921,62.398,0.226,0.908,365.443
3,3100,0.195,0.922,62.500,0.224,0.908,365.555
3,3150,0.188,0.925,62.545,0.208,0.916,363.914
3,3200,0.198,0.921,62.574,0.211,0.915,370.030
3,3250,0.198,0.921,62.576,0.205,0.918,365.563
4,3300,0.185,0.926,61.538,0.212,0.915,367.772
4,3350,0.191,0.925,62.458,0.205,0.917,366.624
4,3400,0.183,0.927,62.464,0.205,0.917,363.439
4,3450,0.184,0.927,62.584,0.220,0.910,363.329
4,3500,0.198,0.921,62.569,0.238,0.902,366.877
4,3550,0.192,0.923,62.521,0.211,0.914,369.174
4,3600,0.194,0.923,62.479,0.230,0.908,364.841
4,3650,0.191,0.923,62.530,0.209,0.915,363.731
4,3700,0.184,0.927,62.584,0.200,0.920,363.839
4,3750,0.173,0.932,62.588,0.207,0.917,367.693
4,3800,0.185,0.925,62.532,0.215,0.913,367.365
4,3850,0.183,0.926,62.589,0.203,0.918,368.214
4,3900,0.176,0.930,62.495,0.205,0.918,366.699
4,3950,0.183,0.926,62.533,0.208,0.915,367.833
