epoch,iter,train_loss,train_acc,train_time(sec),train_fps,val_loss,val_acc,val_time(sec),val_fps
1,100,0.641,0.644,80.697,29.741,0.524,0.733,58.92,135.234
1,200,0.414,0.812,80.944,29.65,0.357,0.84,60.128,132.518
1,300,0.354,0.843,81.524,29.439,0.338,0.855,60.652,131.373
1,400,0.326,0.859,81.847,29.323,0.311,0.867,60.758,131.144
1,500,0.308,0.869,81.903,29.303,0.294,0.875,60.937,130.758
1,600,0.29,0.878,82.017,29.262,0.277,0.884,60.93,130.773
1,700,0.299,0.873,82.086,29.238,0.289,0.877,60.811,131.028
1,800,0.279,0.883,82.074,29.242,0.284,0.879,60.913,130.81
1,900,0.264,0.889,82.25,29.179,0.265,0.889,60.907,130.822
2,1000,0.257,0.894,82.287,29.166,0.247,0.899,60.941,130.749
2,1100,0.241,0.901,82.086,29.237,0.242,0.899,61.086,130.44
2,1200,0.243,0.901,82.213,29.192,0.272,0.89,61.066,130.483
2,1300,0.24,0.901,82.161,29.211,0.235,0.903,61.011,130.6
2,1400,0.23,0.906,82.261,29.176,0.228,0.906,60.857,130.929
2,1500,0.23,0.907,82.288,29.166,0.235,0.907,60.928,130.776
2,1600,0.228,0.907,82.402,29.125,0.217,0.912,60.945,130.74
2,1700,0.222,0.91,82.151,29.215,0.222,0.91,60.948,130.734
2,1800,0.224,0.909,82.314,29.157,0.216,0.912,60.897,130.844
2,1900,0.218,0.912,82.304,29.16,0.208,0.915,61.009,130.604
3,2000,0.206,0.917,82.536,29.078,0.213,0.914,60.82,131.009
3,2100,0.206,0.918,82.223,29.189,0.206,0.917,60.842,130.961
3,2200,0.206,0.917,82.265,29.174,0.227,0.907,60.823,131.003
3,2300,0.206,0.917,82.298,29.162,0.217,0.913,60.946,130.739
3,2400,0.207,0.916,82.206,29.195,0.201,0.918,60.9,130.838
3,2500,0.208,0.916,82.124,29.224,0.204,0.917,60.969,130.689
3,2600,0.2,0.92,82.161,29.211,0.209,0.914,60.986,130.652
3,2700,0.202,0.918,82.37,29.137,0.199,0.92,60.74,131.182
3,2800,0.202,0.918,82.348,29.145,0.212,0.914,61.024,130.572
3,2900,0.191,0.923,82.27,29.172,0.19,0.924,60.85,130.945
4,3000,0.188,0.924,82.601,29.055,0.195,0.921,60.857,130.93
4,3100,0.179,0.928,82.293,29.164,0.203,0.918,60.771,131.114
4,3200,0.189,0.924,82.236,29.184,0.189,0.924,60.924,130.787
4,3300,0.179,0.928,82.194,29.199,0.182,0.927,60.989,130.646
4,3400,0.184,0.926,82.264,29.174,0.181,0.927,60.962,130.704
4,3500,0.187,0.925,82.226,29.188,0.182,0.927,60.943,130.744
4,3600,0.183,0.927,82.202,29.196,0.179,0.929,61.014,130.594
4,3700,0.178,0.929,82.321,29.154,0.183,0.926,60.879,130.882
4,3800,0.178,0.929,82.154,29.213,0.181,0.927,60.863,130.918
4,3900,0.175,0.931,82.452,29.108,0.179,0.928,60.914,130.807
5,4000,0.173,0.93,82.36,29.14,0.178,0.929,60.986,130.652
5,4100,0.168,0.933,82.347,29.145,0.182,0.927,60.817,131.016
5,4200,0.171,0.932,82.278,29.169,0.175,0.93,60.945,130.741
5,4300,0.17,0.931,82.281,29.168,0.18,0.929,60.948,130.735
5,4400,0.166,0.933,82.181,29.204,0.178,0.929,60.887,130.865
5,4500,0.168,0.933,82.192,29.2,0.178,0.928,60.945,130.741
5,4600,0.17,0.932,82.075,29.242,0.179,0.928,60.915,130.806
5,4700,0.163,0.935,82.142,29.218,0.178,0.928,60.791,131.072
5,4800,0.166,0.934,82.156,29.213,0.169,0.932,60.896,130.846
5,4900,0.164,0.935,82.453,29.107,0.171,0.932,60.908,130.819
6,5000,0.16,0.936,82.504,29.089,0.175,0.93,60.915,130.805
6,5100,0.15,0.94,82.232,29.186,0.167,0.934,61.01,130.602
6,5200,0.157,0.937,82.24,29.183,0.174,0.931,60.952,130.725
6,5300,0.154,0.938,82.137,29.22,0.17,0.933,61.032,130.555
6,5400,0.151,0.94,82.149,29.215,0.164,0.935,60.838,130.972
6,5500,0.15,0.94,82.226,29.188,0.172,0.933,60.85,130.946
6,5600,0.157,0.937,82.053,29.249,0.16,0.936,60.943,130.745
6,5700,0.151,0.939,82.116,29.227,0.169,0.933,61.042,130.533
6,5800,0.155,0.938,82.16,29.211,0.167,0.933,60.813,131.025
6,5900,0.151,0.94,82.075,29.242,0.16,0.936,61.083,130.446
7,6000,0.149,0.94,82.061,29.247,0.161,0.936,60.962,130.704
7,6100,0.134,0.946,82.152,29.214,0.165,0.934,60.729,131.205
7,6200,0.136,0.945,82.169,29.208,0.159,0.937,60.753,131.153
7,6300,0.142,0.942,82.124,29.224,0.181,0.932,60.827,130.994
7,6400,0.141,0.944,82.366,29.138,0.16,0.936,60.749,131.162
7,6500,0.145,0.942,81.934,29.292,0.179,0.929,60.914,130.807
7,6600,0.146,0.941,82.248,29.18,0.163,0.936,60.868,130.906
7,6700,0.134,0.946,82.17,29.208,0.165,0.935,60.879,130.883
7,6800,0.139,0.944,82.187,29.202,0.164,0.934,60.762,131.135
7,6900,0.137,0.945,81.933,29.292,0.163,0.936,60.722,131.221
8,7000,0.138,0.944,82.314,29.157,0.164,0.937,60.817,131.016
8,7100,0.122,0.95,82.077,29.241,0.165,0.937,60.864,130.914
8,7200,0.125,0.949,82.12,29.226,0.16,0.937,60.676,131.32
8,7300,0.125,0.949,82.064,29.245,0.163,0.937,60.595,131.495
8,7400,0.12,0.951,82.11,29.229,0.165,0.937,60.702,131.264
8,7500,0.128,0.948,82.247,29.18,0.163,0.937,60.777,131.102
8,7600,0.127,0.949,81.925,29.295,0.161,0.937,60.927,130.78
8,7700,0.124,0.95,82.011,29.264,0.175,0.931,60.757,131.145
8,7800,0.13,0.947,81.926,29.295,0.158,0.939,60.743,131.175
8,7900,0.124,0.95,82.113,29.228,0.163,0.938,60.741,131.18
9,8000,0.12,0.951,82.144,29.217,0.164,0.939,60.714,131.237
9,8100,0.105,0.957,82.026,29.259,0.16,0.94,60.714,131.238
9,8200,0.107,0.956,82.068,29.244,0.174,0.935,60.719,131.227
9,8300,0.11,0.955,81.932,29.292,0.164,0.938,60.777,131.101
9,8400,0.105,0.957,82.12,29.226,0.166,0.938,60.768,131.121
9,8500,0.115,0.953,81.907,29.301,0.173,0.936,60.7,131.27
9,8600,0.108,0.956,82.0,29.268,0.167,0.939,60.765,131.128
9,8700,0.109,0.955,82.053,29.249,0.17,0.937,60.729,131.206
9,8800,0.114,0.954,82.044,29.252,0.168,0.937,60.802,131.049
9,8900,0.118,0.952,81.996,29.27,0.186,0.931,60.825,130.999
10,9000,0.109,0.955,82.19,29.201,0.167,0.938,60.808,131.036
10,9100,0.093,0.962,81.942,29.289,0.166,0.939,60.708,131.252
10,9200,0.091,0.962,81.913,29.3,0.172,0.939,60.743,131.175
10,9300,0.092,0.962,82.183,29.203,0.171,0.939,60.803,131.046
10,9400,0.096,0.961,82.044,29.253,0.174,0.937,60.719,131.228
10,9500,0.094,0.961,81.747,29.359,0.175,0.94,60.727,131.211
10,9600,0.098,0.96,81.904,29.303,0.176,0.937,60.627,131.426
10,9700,0.095,0.961,82.049,29.251,0.177,0.939,60.534,131.629
10,9800,0.097,0.96,82.054,29.249,0.178,0.937,60.573,131.544
10,9900,0.099,0.96,81.794,29.342,0.171,0.939,60.577,131.535
11,10000,0.102,0.958,81.885,29.309,0.181,0.936,60.599,131.487
