epoch,iter,train_loss,train_acc,train_time(sec),train_fps,val_loss,val_acc,val_time(sec),val_fps
1,50,0.669,0.553,13.405,89.517,0.588,0.636,40.744,293.343
1,100,0.524,0.736,12.576,95.421,0.462,0.799,41.159,290.383
1,150,0.425,0.814,12.804,93.722,0.384,0.833,42.158,283.508
1,200,0.395,0.825,13.035,92.057,0.375,0.834,42.225,283.056
1,250,0.353,0.847,12.998,92.323,0.353,0.845,42.426,281.712
1,300,0.365,0.841,13.027,92.113,0.36,0.849,42.304,282.53
1,350,0.349,0.848,12.958,92.607,0.331,0.859,42.239,282.964
1,400,0.337,0.853,13.151,91.248,0.354,0.848,42.347,282.237
1,450,0.301,0.872,13.133,91.374,0.354,0.849,42.342,282.276
1,500,0.323,0.861,13.138,91.34,0.289,0.878,42.277,282.704
1,550,0.303,0.873,13.203,90.885,0.292,0.877,42.487,281.308
1,600,0.295,0.878,12.892,93.082,0.302,0.872,42.653,280.212
1,650,0.3,0.874,12.981,92.442,0.269,0.889,42.329,282.361
1,700,0.287,0.881,13.174,91.085,0.266,0.892,42.311,282.481
1,750,0.261,0.893,13.154,91.226,0.26,0.896,42.474,281.397
1,800,0.271,0.89,13.202,90.894,0.264,0.893,42.565,280.795
1,850,0.253,0.896,13.1,91.604,0.248,0.898,42.628,280.377
1,900,0.266,0.891,13.076,91.774,0.249,0.901,42.642,280.287
1,950,0.254,0.894,13.048,91.971,0.236,0.905,42.604,280.539
1,1000,0.245,0.899,13.123,91.441,0.247,0.899,42.822,279.106
1,1050,0.251,0.897,13.221,90.762,0.236,0.905,42.649,280.244
1,1100,0.251,0.897,13.126,91.421,0.263,0.889,42.712,279.83
1,1150,0.254,0.896,13.059,91.89,0.237,0.907,42.663,280.147
2,1200,0.225,0.909,13.372,89.738,0.223,0.91,42.741,279.635
2,1250,0.232,0.905,13.15,91.254,0.224,0.91,42.688,279.988
2,1300,0.228,0.909,13.015,92.205,0.22,0.913,42.794,279.294
2,1350,0.224,0.91,13.228,90.718,0.224,0.909,42.663,280.146
2,1400,0.225,0.909,13.2,90.908,0.216,0.914,42.756,279.542
2,1450,0.218,0.913,13.248,90.582,0.221,0.912,42.577,280.712
2,1500,0.219,0.911,13.309,90.161,0.211,0.915,42.71,279.842
2,1550,0.229,0.908,13.214,90.811,0.201,0.92,42.84,278.989
2,1600,0.22,0.91,13.087,91.694,0.208,0.917,42.809,279.194
2,1650,0.214,0.915,13.152,91.238,0.208,0.916,42.761,279.51
2,1700,0.208,0.916,13.162,91.168,0.207,0.916,42.754,279.553
2,1750,0.198,0.921,13.2,90.911,0.197,0.922,42.817,279.143
2,1800,0.205,0.918,13.095,91.64,0.201,0.919,42.874,278.773
2,1850,0.195,0.922,13.258,90.512,0.2,0.923,42.758,279.529
2,1900,0.204,0.917,13.067,91.835,0.197,0.924,42.847,278.943
2,1950,0.211,0.917,13.225,90.736,0.205,0.92,42.738,279.66
2,2000,0.205,0.919,13.117,91.484,0.192,0.926,42.81,279.186
2,2050,0.189,0.926,13.243,90.614,0.187,0.926,42.766,279.475
2,2100,0.193,0.923,13.238,90.647,0.201,0.919,42.752,279.566
2,2150,0.193,0.924,13.121,91.453,0.178,0.93,42.771,279.439
2,2200,0.191,0.926,13.153,91.235,0.185,0.928,42.827,279.078
2,2250,0.191,0.923,13.147,91.277,0.189,0.926,42.878,278.747
2,2300,0.195,0.924,13.122,91.448,0.189,0.927,42.799,279.261
3,2350,0.198,0.922,13.397,89.569,0.186,0.927,42.628,280.376
3,2400,0.181,0.93,13.15,91.255,0.172,0.933,42.756,279.543
3,2450,0.187,0.926,13.169,91.12,0.181,0.929,42.714,279.815
3,2500,0.177,0.931,13.144,91.298,0.178,0.931,42.851,278.92
3,2550,0.184,0.927,13.105,91.572,0.189,0.925,42.832,279.042
3,2600,0.184,0.927,13.194,90.951,0.175,0.931,42.761,279.505
3,2650,0.172,0.933,13.254,90.539,0.178,0.93,42.737,279.661
3,2700,0.179,0.93,13.135,91.358,0.168,0.934,42.754,279.55
3,2750,0.183,0.928,13.332,90.006,0.175,0.932,42.65,280.232
3,2800,0.184,0.927,13.14,91.323,0.182,0.927,42.895,278.632
3,2850,0.177,0.931,13.194,90.95,0.184,0.928,42.635,280.33
3,2900,0.177,0.93,13.268,90.44,0.174,0.933,42.848,278.94
3,2950,0.171,0.933,13.199,90.914,0.17,0.934,42.878,278.745
3,3000,0.169,0.934,13.17,91.113,0.176,0.93,42.612,280.483
3,3050,0.175,0.93,13.199,90.916,0.166,0.936,42.895,278.632
3,3100,0.171,0.933,13.072,91.797,0.167,0.934,42.789,279.323
3,3150,0.165,0.934,13.286,90.317,0.177,0.93,42.828,279.069
3,3200,0.175,0.933,13.094,91.645,0.165,0.936,42.705,279.876
3,3250,0.167,0.934,13.078,91.754,0.167,0.936,42.852,278.913
3,3300,0.177,0.929,13.125,91.431,0.168,0.935,42.658,280.184
3,3350,0.164,0.936,13.108,91.545,0.161,0.938,42.607,280.516
3,3400,0.166,0.936,13.211,90.834,0.159,0.938,42.636,280.326
3,3450,0.165,0.935,13.019,92.172,0.177,0.929,42.696,279.935
4,3500,0.166,0.934,13.219,90.776,0.157,0.939,42.711,279.833
4,3550,0.156,0.939,13.126,91.42,0.168,0.937,42.515,281.126
4,3600,0.162,0.936,13.201,90.901,0.164,0.937,42.461,281.48
4,3650,0.175,0.932,13.109,91.543,0.161,0.938,42.357,282.174
4,3700,0.169,0.932,13.082,91.728,0.169,0.934,42.573,280.741
4,3750,0.165,0.935,13.007,92.261,0.154,0.94,42.568,280.773
4,3800,0.156,0.938,13.136,91.353,0.155,0.939,42.514,281.131
4,3850,0.154,0.94,13.049,91.963,0.159,0.937,42.484,281.33
4,3900,0.15,0.941,13.161,91.175,0.164,0.937,42.682,280.023
4,3950,0.159,0.938,13.083,91.723,0.155,0.939,42.525,281.055
4,4000,0.156,0.939,13.07,91.81,0.15,0.941,42.552,280.88
4,4050,0.16,0.938,13.115,91.501,0.157,0.939,42.604,280.537
4,4100,0.161,0.936,13.151,91.25,0.161,0.937,42.639,280.309
4,4150,0.15,0.941,13.132,91.38,0.161,0.938,42.718,279.791
4,4200,0.142,0.944,13.162,91.174,0.149,0.942,42.734,279.686
4,4250,0.157,0.937,13.178,91.062,0.156,0.939,42.608,280.512
4,4300,0.152,0.94,13.24,90.631,0.174,0.931,42.686,279.995
4,4350,0.144,0.944,12.996,92.333,0.167,0.935,42.795,279.284
4,4400,0.147,0.942,13.133,91.373,0.152,0.941,42.776,279.407
4,4450,0.161,0.937,13.093,91.649,0.159,0.937,42.725,279.743
4,4500,0.152,0.941,13.168,91.133,0.152,0.941,42.525,281.059
4,4550,0.152,0.941,13.222,90.76,0.17,0.934,42.625,280.397
4,4600,0.15,0.941,13.236,90.661,0.153,0.94,42.666,280.131
4,4650,0.158,0.939,13.137,91.347,0.152,0.941,42.897,278.624
5,4700,0.154,0.94,13.334,89.997,0.205,0.924,42.597,280.581
5,4750,0.153,0.94,13.152,91.24,0.15,0.942,42.86,278.864
5,4800,0.14,0.944,13.071,91.807,0.147,0.943,42.795,279.288
5,4850,0.141,0.944,13.124,91.434,0.152,0.941,42.711,279.831
5,4900,0.147,0.944,13.22,90.77,0.149,0.944,42.871,278.79
5,4950,0.145,0.943,13.134,91.367,0.147,0.943,42.84,278.993
5,5000,0.146,0.942,13.103,91.586,0.149,0.942,42.837,279.009
