epoch,iter,train_loss,train_acc,train_time(sec),train_fps,val_loss,val_acc,val_time(sec),val_fps
9,8600,0.095,0.964,39.392,60.927,0.123,0.953,42.392,187.959
9,8700,0.095,0.962,39.481,60.789,0.126,0.951,42.448,187.714
9,8800,0.1,0.96,39.473,60.8,0.117,0.956,42.502,187.475
9,8900,0.091,0.964,39.442,60.848,0.118,0.955,42.581,187.126
10,9000,0.1,0.961,39.727,60.412,0.122,0.954,42.528,187.36
10,9100,0.086,0.967,39.624,60.569,0.12,0.955,42.622,186.945
10,9200,0.089,0.964,39.571,60.651,0.119,0.955,42.555,187.242
10,9300,0.084,0.967,39.61,60.591,0.135,0.95,42.668,186.746
10,9400,0.086,0.967,39.676,60.49,0.123,0.956,42.444,187.728
10,9500,0.088,0.966,39.546,60.688,0.14,0.949,42.617,186.966
10,9600,0.095,0.963,39.64,60.545,0.144,0.948,42.596,187.059
10,9700,0.1,0.961,39.686,60.475,0.117,0.956,42.607,187.013
10,9800,0.088,0.966,39.61,60.591,0.129,0.954,42.696,186.62
10,9900,0.088,0.965,39.68,60.483,0.128,0.953,42.613,186.984
11,10000,0.088,0.966,39.903,60.146,0.116,0.957,42.532,187.343
