epoch,iter,train_loss,train_acc,train_time(sec),train_fps,val_loss,val_acc,val_time(sec),val_fps
1,100,0.559,0.863,31.908,75.217,0.38,0.879,30.818,258.549
1,200,0.19,0.892,29.626,81.011,0.233,0.911,30.981,257.191
1,300,0.14,0.91,29.749,80.674,0.216,0.916,31.455,253.315
1,400,0.131,0.916,30.052,79.861,0.203,0.921,31.692,251.416
1,500,0.126,0.919,30.128,79.66,0.21,0.92,31.627,251.934
1,600,0.119,0.924,30.231,79.389,0.195,0.924,31.751,250.953
1,700,0.114,0.927,30.224,79.407,0.192,0.925,31.84,250.251
1,800,0.11,0.93,30.272,79.28,0.206,0.917,31.755,250.922
1,900,0.115,0.927,30.271,79.285,0.184,0.929,31.813,250.466
2,1000,0.108,0.932,30.508,78.668,0.171,0.934,31.734,251.084
2,1100,0.104,0.935,30.258,79.317,0.173,0.934,31.808,250.504
2,1200,0.106,0.933,30.309,79.184,0.174,0.931,31.892,249.84
2,1300,0.1,0.937,30.354,79.067,0.178,0.93,31.894,249.827
2,1400,0.103,0.936,30.305,79.195,0.166,0.937,31.836,250.286
2,1500,0.099,0.939,30.353,79.069,0.16,0.938,31.813,250.461
2,1600,0.097,0.939,30.448,78.823,0.162,0.935,31.888,249.871
2,1700,0.101,0.937,30.325,79.142,0.172,0.934,31.955,249.35
2,1800,0.098,0.94,30.461,78.789,0.158,0.939,31.925,249.583
2,1900,0.098,0.939,30.452,78.813,0.152,0.941,31.979,249.166
3,2000,0.097,0.94,30.675,78.24,0.16,0.938,32.021,248.834
3,2100,0.096,0.941,30.37,79.025,0.152,0.941,32.06,248.535
3,2200,0.091,0.944,30.528,78.617,0.163,0.936,31.84,250.253
3,2300,0.094,0.942,30.504,78.678,0.149,0.943,32.019,248.851
3,2400,0.09,0.944,30.467,78.773,0.156,0.938,32.064,248.501
3,2500,0.091,0.944,30.334,79.119,0.144,0.945,31.996,249.028
3,2600,0.092,0.944,30.439,78.847,0.154,0.941,31.901,249.771
3,2700,0.089,0.946,30.482,78.735,0.14,0.945,31.88,249.937
3,2800,0.089,0.946,30.496,78.698,0.138,0.946,32.002,248.987
3,2900,0.093,0.942,30.421,78.893,0.151,0.942,32.05,248.609
4,3000,0.089,0.946,30.639,78.333,0.159,0.938,31.859,250.104
4,3100,0.09,0.946,30.529,78.614,0.15,0.943,31.878,249.953
4,3200,0.086,0.948,30.411,78.919,0.137,0.946,31.921,249.614
4,3300,0.087,0.947,30.413,78.913,0.14,0.946,31.972,249.217
4,3400,0.084,0.949,30.418,78.901,0.137,0.946,31.929,249.556
4,3500,0.084,0.949,30.372,79.02,0.138,0.946,32.003,248.979
4,3600,0.083,0.95,30.406,78.932,0.14,0.946,31.889,249.87
4,3700,0.084,0.948,30.489,78.716,0.139,0.946,31.866,250.046
4,3800,0.084,0.949,30.357,79.06,0.133,0.949,31.891,249.851
4,3900,0.085,0.948,30.414,78.91,0.13,0.949,31.87,250.018
5,4000,0.084,0.949,30.558,78.54,0.131,0.95,32.001,248.992
5,4100,0.079,0.953,30.396,78.958,0.138,0.948,31.871,250.006
5,4200,0.082,0.95,30.432,78.864,0.129,0.95,31.828,250.346
5,4300,0.082,0.951,30.434,78.859,0.132,0.949,31.865,250.058
5,4400,0.082,0.951,30.44,78.845,0.133,0.95,31.951,249.384
5,4500,0.083,0.951,30.346,79.087,0.138,0.947,31.918,249.64
5,4600,0.077,0.954,30.398,78.953,0.133,0.948,31.921,249.616
5,4700,0.078,0.954,30.466,78.776,0.13,0.949,31.914,249.668
5,4800,0.082,0.951,30.517,78.644,0.158,0.942,32.059,248.543
5,4900,0.085,0.948,30.532,78.605,0.144,0.944,31.931,249.539
6,5000,0.08,0.952,30.589,78.461,0.133,0.95,31.916,249.652
6,5100,0.076,0.956,30.51,78.664,0.124,0.952,31.989,249.086
6,5200,0.076,0.955,30.438,78.849,0.129,0.95,31.973,249.208
6,5300,0.079,0.952,30.416,78.905,0.144,0.945,32.006,248.951
6,5400,0.075,0.956,30.491,78.712,0.126,0.952,31.883,249.91
6,5500,0.076,0.955,30.439,78.846,0.131,0.948,32.006,248.951
6,5600,0.077,0.954,30.52,78.637,0.174,0.937,31.94,249.469
6,5700,0.08,0.952,30.431,78.868,0.125,0.952,32.132,247.973
6,5800,0.076,0.954,30.352,79.073,0.121,0.953,32.005,248.963
6,5900,0.077,0.954,30.341,79.1,0.128,0.95,31.963,249.285
7,6000,0.076,0.955,30.715,78.137,0.12,0.954,31.917,249.647
7,6100,0.075,0.956,30.4,78.948,0.125,0.952,31.912,249.688
7,6200,0.073,0.957,30.402,78.942,0.126,0.951,31.895,249.817
7,6300,0.075,0.955,30.442,78.837,0.129,0.951,31.878,249.953
7,6400,0.073,0.957,30.459,78.794,0.12,0.954,31.837,250.279
7,6500,0.077,0.955,30.546,78.571,0.126,0.952,31.853,250.149
7,6600,0.074,0.957,30.373,79.018,0.119,0.954,31.82,250.41
7,6700,0.076,0.956,30.439,78.846,0.129,0.951,31.93,249.542
7,6800,0.074,0.957,30.379,79.002,0.129,0.952,31.967,249.26
7,6900,0.074,0.957,30.461,78.789,0.122,0.953,31.903,249.758
8,7000,0.074,0.956,30.538,78.591,0.126,0.952,31.891,249.85
8,7100,0.071,0.959,30.398,78.953,0.116,0.955,31.974,249.206
8,7200,0.07,0.96,30.42,78.894,0.143,0.946,31.842,250.236
8,7300,0.073,0.957,30.46,78.792,0.124,0.952,31.892,249.842
8,7400,0.072,0.958,30.449,78.82,0.119,0.953,31.9,249.781
8,7500,0.071,0.958,30.41,78.921,0.119,0.954,31.898,249.797
8,7600,0.07,0.96,30.445,78.83,0.129,0.949,31.854,250.14
8,7700,0.076,0.955,30.427,78.878,0.123,0.953,31.934,249.518
8,7800,0.072,0.958,30.458,78.796,0.126,0.952,31.836,250.285
8,7900,0.074,0.956,30.438,78.849,0.12,0.955,31.976,249.188
9,8000,0.072,0.957,30.718,78.13,0.12,0.955,31.981,249.151
9,8100,0.069,0.96,30.313,79.174,0.126,0.951,31.832,250.313
9,8200,0.071,0.959,30.417,78.902,0.125,0.954,31.924,249.596
9,8300,0.067,0.962,30.345,79.091,0.116,0.955,32.001,248.99
9,8400,0.07,0.959,30.515,78.649,0.117,0.955,31.958,249.325
9,8500,0.069,0.961,30.57,78.508,0.114,0.956,32.011,248.918
9,8600,0.071,0.959,30.427,78.878,0.13,0.951,32.074,248.426
9,8700,0.069,0.96,30.49,78.713,0.119,0.956,32.039,248.699
9,8800,0.07,0.96,30.406,78.931,0.116,0.955,32.038,248.702
9,8900,0.069,0.961,30.555,78.547,0.114,0.957,32.051,248.602
10,9000,0.067,0.962,30.847,77.804,0.118,0.955,32.069,248.465
10,9100,0.07,0.96,30.491,78.711,0.12,0.954,32.22,247.3
10,9200,0.068,0.961,30.438,78.85,0.129,0.952,31.954,249.356
10,9300,0.069,0.961,30.581,78.48,0.116,0.955,31.876,249.968
10,9400,0.069,0.96,30.444,78.832,0.125,0.951,32.024,248.811
10,9500,0.066,0.962,30.464,78.782,0.116,0.956,31.998,249.018
