epoch,iter,train_loss,train_acc,train_time(sec),train_fps,val_loss,val_acc,val_time(sec),val_fps
1,100,0.647,0.64,80.866,29.679,0.581,0.663,59.28,134.412
1,200,0.438,0.8,81.794,29.342,0.404,0.816,60.735,131.192
1,300,0.366,0.837,82.179,29.205,0.335,0.852,60.771,131.115
1,400,0.341,0.85,82.38,29.133,0.35,0.841,60.943,130.744
1,500,0.32,0.863,82.225,29.188,0.378,0.834,61.044,130.529
1,600,0.308,0.866,82.152,29.214,0.327,0.859,60.898,130.841
1,700,0.294,0.875,82.036,29.255,0.288,0.875,61.003,130.616
1,800,0.281,0.882,82.476,29.099,0.276,0.882,61.124,130.358
1,900,0.289,0.878,82.759,29.0,0.272,0.883,61.193,130.21
2,1000,0.274,0.885,82.85,28.968,0.266,0.888,61.348,129.883
2,1100,0.255,0.894,82.475,29.1,0.253,0.893,61.162,130.278
2,1200,0.262,0.891,82.488,29.095,0.244,0.899,61.078,130.455
2,1300,0.252,0.895,82.505,29.089,0.248,0.897,61.173,130.253
2,1400,0.24,0.902,82.58,29.063,0.232,0.905,61.333,129.914
2,1500,0.232,0.905,82.541,29.076,0.227,0.907,61.276,130.034
2,1600,0.235,0.903,82.472,29.101,0.237,0.903,61.135,130.336
2,1700,0.221,0.91,82.413,29.122,0.218,0.911,61.039,130.54
2,1800,0.237,0.902,82.222,29.189,0.223,0.908,61.146,130.311
2,1900,0.221,0.91,82.441,29.112,0.214,0.913,61.141,130.321
3,2000,0.217,0.912,82.775,28.994,0.214,0.914,61.368,129.84
3,2100,0.21,0.915,82.715,29.015,0.212,0.914,61.262,130.065
3,2200,0.206,0.916,82.687,29.025,0.222,0.909,61.217,130.16
3,2300,0.211,0.914,82.43,29.115,0.249,0.897,60.885,130.87
3,2400,0.214,0.913,82.235,29.185,0.203,0.918,60.71,131.248
3,2500,0.201,0.919,82.296,29.163,0.205,0.917,60.858,130.928
3,2600,0.194,0.922,82.49,29.095,0.208,0.915,61.081,130.449
3,2700,0.209,0.917,82.53,29.08,0.21,0.915,61.278,130.03
3,2800,0.202,0.918,82.648,29.039,0.198,0.92,61.227,130.138
3,2900,0.196,0.921,82.253,29.178,0.195,0.921,60.944,130.743
4,3000,0.196,0.922,82.203,29.196,0.211,0.913,60.925,130.784
4,3100,0.193,0.922,81.897,29.305,0.191,0.924,60.977,130.673
4,3200,0.194,0.922,82.041,29.254,0.189,0.924,62.233,128.036
4,3300,0.182,0.927,83.361,28.791,0.195,0.922,62.392,127.708
4,3400,0.185,0.926,84.447,28.42,0.185,0.926,62.662,127.159
4,3500,0.181,0.927,83.803,28.639,0.183,0.927,61.607,129.336
4,3600,0.181,0.927,82.644,29.04,0.178,0.928,61.292,130.0
4,3700,0.182,0.927,83.885,28.611,0.19,0.925,62.454,127.583
4,3800,0.186,0.926,83.856,28.621,0.185,0.926,61.399,129.774
4,3900,0.183,0.927,83.436,28.765,0.185,0.926,61.301,129.982
5,4000,0.177,0.929,83.805,28.638,0.191,0.923,61.791,128.951
5,4100,0.168,0.932,83.5,28.743,0.179,0.929,62.274,127.951
5,4200,0.174,0.931,82.559,29.07,0.182,0.927,61.276,130.035
5,4300,0.169,0.932,82.469,29.102,0.177,0.93,60.597,131.491
5,4400,0.17,0.932,81.208,29.554,0.174,0.931,60.149,132.47
5,4500,0.174,0.931,81.126,29.584,0.18,0.929,60.617,131.448
5,4600,0.166,0.934,81.181,29.564,0.179,0.93,60.123,132.528
5,4700,0.174,0.93,81.145,29.577,0.184,0.926,60.149,132.472
5,4800,0.173,0.931,81.204,29.555,0.174,0.931,60.092,132.597
5,4900,0.169,0.932,80.97,29.641,0.168,0.933,60.104,132.57
6,5000,0.174,0.93,81.267,29.532,0.17,0.932,59.999,132.801
6,5100,0.153,0.939,80.95,29.648,0.18,0.928,59.808,133.226
6,5200,0.16,0.935,81.023,29.621,0.167,0.934,59.732,133.395
6,5300,0.164,0.935,81.012,29.625,0.17,0.932,59.927,132.962
6,5400,0.163,0.935,80.798,29.704,0.17,0.932,60.053,132.682
6,5500,0.155,0.938,80.979,29.637,0.165,0.934,60.22,132.316
6,5600,0.164,0.934,81.055,29.61,0.166,0.934,60.031,132.73
6,5700,0.155,0.938,81.198,29.557,0.171,0.932,60.126,132.522
6,5800,0.159,0.936,81.26,29.535,0.169,0.933,60.327,132.081
6,5900,0.157,0.937,81.506,29.446,0.163,0.935,60.58,131.528
7,6000,0.157,0.938,81.929,29.294,0.165,0.934,60.662,131.35
7,6100,0.143,0.942,82.028,29.258,0.165,0.934,60.754,131.152
7,6200,0.144,0.943,82.1,29.233,0.164,0.936,60.806,131.039
7,6300,0.145,0.941,82.28,29.169,0.162,0.936,61.079,130.454
7,6400,0.141,0.943,82.274,29.171,0.172,0.934,61.068,130.478
7,6500,0.144,0.943,82.788,28.99,0.16,0.937,60.88,130.881
7,6600,0.153,0.939,81.502,29.447,0.171,0.934,60.215,132.326
7,6700,0.149,0.94,81.299,29.521,0.193,0.923,60.155,132.458
7,6800,0.155,0.937,81.114,29.588,0.161,0.936,59.868,133.094
7,6900,0.15,0.94,81.081,29.6,0.199,0.919,60.417,131.884
8,7000,0.152,0.939,81.683,29.382,0.159,0.937,60.276,132.191
8,7100,0.137,0.945,81.696,29.377,0.161,0.936,60.279,132.186
8,7200,0.132,0.947,81.528,29.438,0.163,0.937,60.463,131.782
8,7300,0.135,0.945,81.998,29.269,0.162,0.937,60.872,130.898
8,7400,0.132,0.947,81.931,29.293,0.165,0.936,60.835,130.978
8,7500,0.138,0.944,82.077,29.241,0.176,0.932,60.828,130.993
8,7600,0.149,0.94,81.902,29.303,0.168,0.934,60.663,131.348
8,7700,0.143,0.942,81.728,29.366,0.158,0.937,60.77,131.118
8,7800,0.134,0.946,81.56,29.426,0.156,0.938,60.307,132.123
8,7900,0.135,0.946,81.379,29.492,0.169,0.934,60.156,132.455
9,8000,0.138,0.945,81.512,29.443,0.17,0.933,60.346,132.039
9,8100,0.125,0.949,81.491,29.451,0.159,0.939,60.422,131.873
9,8200,0.119,0.952,81.853,29.321,0.161,0.938,60.526,131.645
9,8300,0.117,0.952,81.931,29.293,0.157,0.94,60.631,131.418
9,8400,0.123,0.95,81.749,29.358,0.167,0.934,60.719,131.227
9,8500,0.128,0.948,81.877,29.312,0.165,0.937,60.81,131.031
9,8600,0.124,0.95,81.652,29.393,0.159,0.938,60.522,131.656
9,8700,0.127,0.949,81.573,29.422,0.163,0.937,60.324,132.087
9,8800,0.135,0.946,81.359,29.499,0.167,0.935,60.223,132.309
