epoch,iter,train_loss,train_acc,train_time(sec),train_fps,val_loss,val_acc,val_time(sec),val_fps
1,50,0.424,0.823,16.467,72.874,0.459,0.755,46.574,256.622
1,100,0.331,0.868,14.827,80.931,0.289,0.891,47.043,254.065
1,150,0.267,0.892,15.141,79.258,0.253,0.9,47.914,249.448
1,200,0.261,0.894,15.228,78.802,0.254,0.897,48.138,248.284
1,250,0.23,0.91,15.162,79.146,0.237,0.909,48.297,247.467
1,300,0.218,0.913,15.259,78.641,0.23,0.91,48.297,247.47
1,350,0.221,0.915,15.316,78.35,0.205,0.921,48.321,247.345
1,400,0.225,0.91,15.291,78.476,0.208,0.919,48.488,246.493
1,450,0.221,0.914,15.35,78.175,0.208,0.918,48.384,247.024
1,500,0.214,0.915,15.387,77.99,0.209,0.919,48.361,247.144
1,550,0.211,0.917,15.315,78.356,0.209,0.917,48.438,246.75
1,600,0.214,0.915,15.422,77.809,0.193,0.925,48.536,246.248
1,650,0.22,0.914,15.34,78.227,0.211,0.917,48.406,246.911
1,700,0.191,0.925,15.437,77.736,0.183,0.929,48.561,246.125
1,750,0.181,0.929,15.416,77.841,0.195,0.924,48.283,247.542
1,800,0.187,0.926,15.446,77.692,0.18,0.931,48.525,246.305
1,850,0.177,0.932,15.31,78.378,0.183,0.929,48.555,246.156
1,900,0.182,0.929,15.372,78.064,0.18,0.931,48.506,246.401
1,950,0.189,0.927,15.382,78.014,0.176,0.931,48.526,246.302
1,1000,0.182,0.929,15.52,77.318,0.182,0.93,48.507,246.396
1,1050,0.185,0.927,15.404,77.901,0.168,0.935,48.486,246.504
1,1100,0.186,0.928,15.533,77.253,0.195,0.925,48.299,247.459
1,1150,0.175,0.931,15.485,77.494,0.167,0.935,48.511,246.379
2,1200,0.173,0.933,15.64,76.726,0.174,0.932,48.455,246.663
2,1250,0.165,0.935,15.432,77.762,0.187,0.927,48.576,246.047
2,1300,0.175,0.931,15.371,78.067,0.174,0.932,48.579,246.034
2,1350,0.167,0.934,15.31,78.381,0.195,0.924,48.457,246.654
2,1400,0.17,0.933,15.353,78.161,0.168,0.935,48.36,247.145
2,1450,0.158,0.939,15.343,78.212,0.159,0.939,48.458,246.645
2,1500,0.166,0.935,15.358,78.135,0.166,0.936,48.407,246.907
2,1550,0.159,0.936,15.206,78.915,0.16,0.94,48.432,246.777
2,1600,0.17,0.932,15.367,78.089,0.162,0.937,48.394,246.975
2,1650,0.168,0.936,15.307,78.394,0.156,0.94,48.453,246.671
2,1700,0.166,0.937,15.307,78.397,0.156,0.94,48.323,247.337
2,1750,0.162,0.936,15.262,78.627,0.157,0.939,48.412,246.88
2,1800,0.169,0.935,15.234,78.773,0.151,0.942,48.305,247.429
2,1850,0.154,0.94,15.307,78.396,0.172,0.933,48.33,247.299
2,1900,0.153,0.939,15.317,78.344,0.158,0.939,48.317,247.365
2,1950,0.165,0.936,15.365,78.1,0.162,0.939,48.343,247.234
2,2000,0.161,0.938,15.332,78.268,0.177,0.932,48.271,247.603
2,2050,0.155,0.94,15.397,77.938,0.152,0.941,48.283,247.54
2,2100,0.163,0.937,15.368,78.084,0.161,0.937,48.246,247.732
2,2150,0.153,0.941,15.409,77.875,0.152,0.942,48.432,246.779
2,2200,0.16,0.94,15.256,78.657,0.156,0.94,48.305,247.427
2,2250,0.147,0.944,15.375,78.047,0.152,0.941,48.448,246.698
2,2300,0.147,0.944,15.377,78.037,0.157,0.939,48.532,246.27
3,2350,0.167,0.937,15.378,78.033,0.156,0.941,48.41,246.89
3,2400,0.149,0.943,15.383,78.01,0.149,0.942,48.345,247.226
3,2450,0.154,0.94,15.371,78.071,0.149,0.942,48.551,246.175
3,2500,0.145,0.944,15.368,78.083,0.146,0.944,48.46,246.637
3,2550,0.151,0.941,15.27,78.588,0.143,0.945,48.374,247.077
3,2600,0.144,0.945,15.439,77.723,0.151,0.942,48.387,247.007
3,2650,0.145,0.943,15.237,78.754,0.145,0.944,48.481,246.532
3,2700,0.124,0.951,15.405,77.897,0.139,0.946,48.428,246.797
