epoch,iter,train_loss,train_acc,train_time(sec),train_fps,val_loss,val_acc,val_time(sec),val_fps
1,100,0.381,0.848,33.785,71.038,0.345,0.902,33.306,239.233
1,200,0.263,0.896,31.479,76.24,0.245,0.902,33.388,238.646
1,300,0.22,0.914,32.08,74.813,0.202,0.922,33.938,234.782
1,400,0.2,0.923,32.223,74.48,0.19,0.927,34.122,233.514
1,500,0.196,0.924,32.292,74.322,0.197,0.925,34.084,233.777
1,600,0.19,0.926,32.403,74.066,0.189,0.929,34.237,232.728
1,700,0.18,0.931,32.376,74.13,0.184,0.929,34.149,233.334
1,800,0.172,0.934,32.346,74.198,0.182,0.929,34.255,232.607
1,900,0.169,0.935,32.377,74.126,0.162,0.937,34.263,232.552
2,1000,0.164,0.937,32.668,73.467,0.165,0.937,34.155,233.288
2,1100,0.165,0.937,32.661,73.483,0.158,0.938,34.098,233.682
2,1200,0.157,0.941,32.511,73.822,0.156,0.94,34.166,233.211
2,1300,0.152,0.941,32.561,73.707,0.149,0.943,34.247,232.66
2,1400,0.155,0.941,32.409,74.053,0.176,0.928,34.208,232.931
2,1500,0.159,0.939,32.442,73.979,0.146,0.943,34.295,232.337
2,1600,0.145,0.945,32.424,74.02,0.144,0.946,34.091,233.731
2,1700,0.157,0.939,32.615,73.587,0.149,0.942,34.035,234.11
2,1800,0.144,0.945,32.632,73.548,0.152,0.94,34.191,233.046
2,1900,0.144,0.945,32.711,73.37,0.145,0.942,34.723,229.473
3,2000,0.151,0.943,33.063,72.589,0.149,0.942,34.647,229.978
3,2100,0.138,0.947,32.675,73.45,0.141,0.946,34.8,228.968
3,2200,0.141,0.947,33.009,72.708,0.139,0.946,34.415,231.528
3,2300,0.14,0.947,32.747,73.289,0.136,0.947,34.692,229.68
3,2400,0.135,0.949,32.906,72.935,0.14,0.946,34.429,231.434
3,2500,0.136,0.948,32.555,73.721,0.145,0.945,34.087,233.752
3,2600,0.132,0.95,32.62,73.573,0.132,0.949,34.13,233.458
3,2700,0.131,0.95,32.628,73.555,0.133,0.949,34.038,234.092
3,2800,0.135,0.947,32.433,73.999,0.135,0.948,34.26,232.576
3,2900,0.137,0.948,33.011,72.704,0.135,0.95,34.211,232.907
4,3000,0.128,0.952,32.696,73.404,0.13,0.951,34.181,233.109
4,3100,0.132,0.951,32.462,73.933,0.13,0.95,34.225,232.815
4,3200,0.132,0.95,32.457,73.944,0.136,0.949,34.286,232.396
4,3300,0.125,0.952,32.344,74.202,0.13,0.949,34.28,232.438
4,3400,0.124,0.952,32.469,73.917,0.128,0.952,34.114,233.569
4,3500,0.129,0.951,32.474,73.905,0.126,0.952,34.217,232.869
4,3600,0.122,0.954,32.453,73.954,0.132,0.95,34.172,233.172
4,3700,0.118,0.954,32.463,73.931,0.12,0.954,34.31,232.238
4,3800,0.129,0.952,32.309,74.283,0.132,0.95,34.195,233.016
4,3900,0.13,0.95,32.392,74.092,0.125,0.952,34.273,232.487
5,4000,0.118,0.955,32.647,73.513,0.124,0.953,34.112,233.584
5,4100,0.111,0.957,32.467,73.922,0.122,0.955,34.295,232.335
5,4200,0.111,0.957,32.371,74.14,0.121,0.954,34.226,232.804
5,4300,0.114,0.958,32.485,73.881,0.125,0.953,34.098,233.683
5,4400,0.11,0.958,32.608,73.601,0.12,0.954,34.086,233.762
5,4500,0.107,0.959,32.427,74.013,0.119,0.954,34.264,232.55
5,4600,0.12,0.954,32.387,74.104,0.129,0.951,34.167,233.204
5,4700,0.118,0.956,32.346,74.197,0.116,0.957,34.385,231.726
5,4800,0.12,0.953,32.494,73.861,0.121,0.954,34.12,233.531
5,4900,0.117,0.955,32.465,73.925,0.118,0.955,34.14,233.392
6,5000,0.12,0.954,32.609,73.6,0.126,0.952,34.166,233.216
