epoch,iter,train_loss,train_acc,train_time(sec),train_fps,val_loss,val_acc,val_time(sec),val_fps
9,8600,0.098,0.962,30.77,77.998,0.12,0.954,32.515,245.053
9,8700,0.097,0.962,30.606,78.415,0.118,0.955,32.458,245.486
9,8800,0.094,0.964,30.594,78.447,0.114,0.956,32.424,245.745
9,8900,0.1,0.961,30.51,78.663,0.114,0.956,32.392,245.989
10,9000,0.097,0.962,30.699,78.178,0.113,0.957,32.499,245.175
10,9100,0.088,0.966,30.481,78.737,0.113,0.958,32.535,244.906
10,9200,0.092,0.964,30.585,78.469,0.12,0.954,32.488,245.262
10,9300,0.097,0.962,30.483,78.733,0.12,0.955,32.565,244.681
10,9400,0.088,0.966,30.541,78.582,0.115,0.957,32.542,244.853
10,9500,0.101,0.962,30.596,78.442,0.113,0.957,32.499,245.179
10,9600,0.088,0.966,30.699,78.18,0.114,0.957,32.732,243.431
10,9700,0.095,0.963,30.71,78.15,0.127,0.952,32.535,244.903
10,9800,0.094,0.963,30.722,78.12,0.112,0.958,32.753,243.275
10,9900,0.089,0.965,30.635,78.342,0.116,0.956,32.651,244.037
11,10000,0.089,0.965,30.989,77.447,0.119,0.957,32.774,243.121
